,Year,home_team,home_gdp,home_population,home_oddset,home_fifa_rank,home_host,away_team,away_gdp,away_population,away_oddset,away_fifa_rank,away_host,home_goal,away_goal,win_point,result
232,2006,ESP,37766,4676,800,6,0,TUN,10823,1182,35000,26,0,3,1,2,1
233,2006,CZE,41604,1071,200000,40,0,ITA,41829,6047,200000,7,0,0,2,-2,-1
234,2006,GHA,5745,3108,25000,49,0,USA,63594,33101,10000,20,0,2,1,1,1
235,2006,JPN,42391,12648,25000,28,0,BRA,14836,21256,450,3,0,1,4,-3,-1
236,2006,UKR,13055,4374,25000,24,0,TUN,10823,1182,35000,26,0,1,0,1,1
237,2006,ARG,20771,4520,900,8,0,MEX,18445,12894,15000,11,0,2,1,1,1
238,2006,ITA,41829,6047,200000,7,0,AUS,53330,2550,50000,41,0,1,0,1,1
239,2006,BRA,14836,21256,450,3,0,GHA,5745,3108,25000,49,0,3,0,3,1
240,2006,ESP,37766,4676,800,6,0,FRA,46984,6528,550,2,0,1,3,-2,-1
241,2006,ITA,41829,6047,200000,7,0,UKR,13055,4374,25000,24,0,3,0,3,1
242,2006,BRA,14836,21256,450,3,0,FRA,46984,6528,550,2,0,0,1,-1,-1
243,2006,ITA,41829,6047,200000,7,0,FRA,46984,6528,550,2,0,1,1,0,0
244,2010,ARG,20771,4520,900,8,0,NGA,5187,20614,200000,32,0,1,0,1,1
245,2010,SRB,19108,874,15000,25,0,GHA,5745,3108,25000,49,0,0,1,-1,-1
246,2010,JPN,42391,12648,25000,28,0,CMR,3868,2655,20000,55,0,1,0,1,1
247,2010,NZL,44492,483,200000,122,0,SVK,31357,546,200000,36,0,1,1,0,0
248,2010,ARG,20771,4520,900,8,0,KOR,45275,5127,25000,39,0,4,1,3,1
249,2010,FRA,46984,6528,550,2,0,MEX,18445,12894,15000,11,0,0,2,-2,-1
250,2010,SVN,39769,208,200000,63,0,USA,63594,33101,10000,20,0,2,2,0,0
251,2010,GHA,5745,3108,25000,49,0,AUS,53330,2550,50000,41,0,1,1,0,0
252,2010,ITA,41829,6047,200000,7,0,NZL,44492,483,200000,122,0,1,1,0,0
253,2010,BRA,14836,21256,450,3,0,CIV,5466,2638,200000,59,0,3,1,2,1
254,2010,NGA,5187,20614,200000,32,0,KOR,45275,5127,25000,39,0,2,2,0,0
255,2010,AUS,53330,2550,50000,41,0,SRB,19108,874,15000,25,0,2,1,1,1
256,2010,SVK,31357,546,200000,36,0,ITA,41829,6047,200000,7,0,3,2,1,1
257,2010,USA,63594,33101,10000,20,0,GHA,5745,3108,25000,49,0,1,2,-1,-1
258,2010,ARG,20771,4520,900,8,0,MEX,18445,12894,15000,11,0,3,1,2,1
259,2014,MEX,18445,12894,15000,11,0,CMR,3868,2655,20000,55,0,1,0,1,1
260,2014,CIV,5466,2638,200000,59,0,JPN,42391,12648,25000,28,0,2,1,1,1
261,2014,ARG,20771,4520,900,8,0,BIH,15624,329,200000,55,0,2,1,1,1
262,2014,IRN,13339,8400,50000,31,0,NGA,5187,20614,200000,32,0,0,0,0,0
263,2014,GHA,5745,3108,25000,49,0,USA,63594,33101,10000,20,0,1,2,-1,-1
264,2014,BRA,14836,21256,450,3,1,MEX,18445,12894,15000,11,0,0,0,0,0
265,2014,RUS,29813,14594,200000,38,0,KOR,45275,5127,25000,39,0,1,1,0,0
266,2014,COL,14932,5089,200000,15,0,CIV,5466,2638,200000,59,0,2,1,1,1
267,2014,ARG,20771,4520,900,8,0,IRN,13339,8400,50000,31,0,1,0,1,1
268,2014,NGA,5187,20614,200000,32,0,BIH,15624,329,200000,55,0,1,0,1,1
269,2014,BEL,53035,1159,1200,1,0,RUS,29813,14594,200000,38,0,1,0,1,1
270,2014,AUS,53330,2550,50000,41,0,ESP,37766,4676,800,6,0,0,3,-3,-1
271,2014,CMR,3868,2655,20000,55,0,BRA,14836,21256,450,3,1,1,4,-3,-1
272,2014,JPN,42391,12648,25000,28,0,COL,14932,5089,200000,15,0,1,4,-3,-1
273,2014,NGA,5187,20614,200000,32,0,ARG,20771,4520,900,8,0,2,3,-1,-1
274,2014,BIH,15624,329,200000,55,0,IRN,13339,8400,50000,31,0,3,1,2,1
275,2014,ECU,10896,1765,15000,53,0,FRA,46984,6528,550,2,0,0,0,0,0
276,2014,KOR,45275,5127,25000,39,0,BEL,53035,1159,1200,1,0,0,1,-1,-1
277,2014,FRA,46984,6528,550,2,0,NGA,5187,20614,200000,32,0,2,0,2,1
278,2014,BRA,14836,21256,450,3,1,COL,14932,5089,200000,15,0,2,1,1,1
279,2014,ARG,20771,4520,900,8,0,BEL,53035,1159,1200,1,0,1,0,1,1
280,2014,BEL,53035,1159,1200,1,0,USA,63594,33101,10000,20,0,2,1,1,1
281,2014,FRA,46984,6528,550,2,0,NGA,5187,20614,200000,32,0,2,0,2,1
282,2014,BEL,53035,1159,1200,1,0,USA,63594,33101,10000,20,0,2,1,1,1
283,2014,BRA,14836,21256,450,3,1,COL,14932,5089,200000,15,0,2,1,1,1
284,2014,ARG,20771,4520,900,8,0,BEL,53035,1159,1200,1,0,1,0,1,1
285,1930,MEX,18445,12894,15000,11,0,FRA,46984,6528,550,2,0,1,4,-3,-1
286,1930,BEL,53035,1159,1200,1,0,USA,63594,33101,10000,20,0,0,3,-3,-1
287,1930,PER,11879,3298,20000,27,0,ROU,32117,1924,200000,43,0,1,3,-2,-1
288,1930,FRA,46984,6528,550,2,0,ARG,20771,4520,900,8,0,0,1,-1,-1
289,1930,MEX,18445,12894,15000,11,0,ARG,20771,4520,900,8,0,3,6,-3,-1
