,index,Year,home team,home gdp,home population,home oddset,home fifa rank,home host,away team,away gdp,away population,away oddset,away fifa rank,away host,win point,result
254,254,1974,SWE,55038,1010,200000,211,0,URU,10926,10,200000,211,0,3,1
255,255,1974,POL,34241,3785,12500,211,0,ITA,41829,6047,200000,211,0,1,1
256,256,1974,YUG,10926,10,200000,211,0,FRG,10926,10,200000,211,0,-2,-1
257,257,1974,BRA,14836,21256,450,211,0,GDR,10926,10,200000,211,0,1,1
258,258,1974,NED,10926,10,200000,211,0,ARG,20771,4520,900,211,0,4,1
259,259,1974,SWE,55038,1010,200000,211,0,POL,34241,3785,12500,211,0,-1,-1
260,260,1974,ARG,20771,4520,900,211,0,BRA,14836,21256,450,211,0,-1,-1
261,261,1974,POL,34241,3785,12500,211,0,YUG,10926,10,200000,211,0,1,1
262,262,1974,GDR,10926,10,200000,211,0,NED,10926,10,200000,211,0,-2,-1
263,263,1974,FRG,10926,10,200000,211,0,SWE,55038,1010,200000,211,0,2,1
264,264,1974,POL,34241,3785,12500,211,0,FRG,10926,10,200000,211,0,-1,-1
265,265,1974,NED,10926,10,200000,211,0,BRA,14836,21256,450,211,0,2,1
266,266,1974,ARG,20771,4520,900,211,0,GDR,10926,10,200000,211,0,0,0
267,267,1974,SWE,55038,1010,200000,211,0,YUG,10926,10,200000,211,0,1,1
268,268,1974,BRA,14836,21256,450,211,0,POL,34241,3785,12500,211,0,-1,-1
269,269,1974,NED,10926,10,200000,211,0,FRG,10926,10,200000,211,0,-1,-1
270,270,1978,FRG,10926,10,200000,211,0,POL,34241,3785,12500,211,0,0,0
271,271,1978,ITA,41829,6047,200000,211,0,FRA,46984,6528,550,211,0,1,1
272,272,1978,TUN,10823,1182,35000,211,0,MEX,18445,12894,15000,211,0,2,1
273,273,1978,ARG,20771,4520,900,211,1,HUN,33078,967,200000,211,0,1,1
274,274,1978,SWE,55038,1010,200000,211,0,BRA,14836,21256,450,211,0,0,0
275,275,1978,AUT,55684,901,200000,211,0,ESP,37766,4676,800,211,0,1,1
276,276,1978,PER,11879,3298,20000,211,0,SCO,10926,10,200000,211,0,2,1
277,277,1978,NED,10926,10,200000,211,0,IRN,13339,8400,50000,211,0,3,1
278,278,1978,ITA,41829,6047,200000,211,0,HUN,33078,967,200000,211,0,2,1
279,279,1978,POL,34241,3785,12500,211,0,TUN,10823,1182,35000,211,0,1,1
280,280,1978,FRG,10926,10,200000,211,0,MEX,18445,12894,15000,211,0,6,1
281,281,1978,ARG,20771,4520,900,211,1,FRA,46984,6528,550,211,0,1,1
282,282,1978,BRA,14836,21256,450,211,0,ESP,37766,4676,800,211,0,0,0
283,283,1978,AUT,55684,901,200000,211,0,SWE,55038,1010,200000,211,0,1,1
284,284,1978,SCO,10926,10,200000,211,0,IRN,13339,8400,50000,211,0,0,0
